hex,name,Red,Green,Blue,Family,Link,Source
#b2beb5,Ash gray,178,190,181,,https://encycolorpedia.com/b2beb5,encycolorpedia
#87a96b,Asparagus,135,169,107,,https://encycolorpedia.com/87a96b,encycolorpedia
#003a6c,Ateneo blue,0,58,108,,https://encycolorpedia.com/003a6c,encycolorpedia
#ff9966,Atomic tangerine,255,153,102,,https://encycolorpedia.com/ff9966,encycolorpedia
#a52a2a,Auburn,165,42,42,,https://encycolorpedia.com/a52a2a,encycolorpedia
#fdee00,Aureolin,253,238,0,,https://encycolorpedia.com/fdee00,encycolorpedia
#6e7f80,AuroMetalSaurus,110,127,128,,https://encycolorpedia.com/6e7f80,encycolorpedia
#568203,Avocado,86,130,3,,https://encycolorpedia.com/568203,encycolorpedia
#ff2052,Awesome,255,32,82,,https://encycolorpedia.com/ff2052,encycolorpedia
#63775b,Axolotl,99,119,91,,https://encycolorpedia.com/63775b,encycolorpedia
#007fff,Azure,0,127,255,,https://encycolorpedia.com/007fff,encycolorpedia
#f0ffff,Azure mist,240,255,255,,https://encycolorpedia.com/f0ffff,encycolorpedia
#dbe9f4,Azureish white,219,233,244,,https://encycolorpedia.com/dbe9f4,encycolorpedia
#2e5894,B'dazzled blue,46,88,148,,https://encycolorpedia.com/2e5894,encycolorpedia
#89cff0,Baby blue,137,207,240,,https://encycolorpedia.com/89cff0,encycolorpedia
#a1caf1,Baby blue eyes,161,202,241,,https://encycolorpedia.com/a1caf1,encycolorpedia
#f4c2c2,Baby pink,244,194,194,,https://encycolorpedia.com/f4c2c2,encycolorpedia
#fefefa,Baby powder,254,254,250,,https://encycolorpedia.com/fefefa,encycolorpedia
#857c55,Baiko brown (Baikōcha),133,124,85,,https://encycolorpedia.com/857c55,encycolorpedia
#ff91af,Baker-Miller pink,255,145,175,,https://encycolorpedia.com/ff91af,encycolorpedia
#21abcd,Ball blue,33,171,205,,https://encycolorpedia.com/21abcd,encycolorpedia
#fae7b5,Banana Mania,250,231,181,,https://encycolorpedia.com/fae7b5,encycolorpedia
#ffe135,Banana yellow,255,225,53,,https://encycolorpedia.com/ffe135,encycolorpedia
#006a4e,Bangladesh green,0,106,78,,https://encycolorpedia.com/006a4e,encycolorpedia
#e94196,Barbie Pink,233,65,150,,https://encycolorpedia.com/e94196,encycolorpedia
#e85395,Barbie Pink (1959-1975),232,83,149,,https://encycolorpedia.com/e85395,encycolorpedia
#d3419d,Barbie Pink (1975-1990),211,65,157,,https://encycolorpedia.com/d3419d,encycolorpedia
#f364a2,Barbie Pink (1990-1999),243,100,162,,https://encycolorpedia.com/f364a2,encycolorpedia
#f7238a,Barbie Pink (1999-2004),247,35,138,,https://encycolorpedia.com/f7238a,encycolorpedia
#ff3988,Barbie Pink (2004-2005),255,57,136,,https://encycolorpedia.com/ff3988,encycolorpedia
#fc419a,Barbie Pink (2005-2009),252,65,154,,https://encycolorpedia.com/fc419a,encycolorpedia
#e0218a,Barbie Pink (Pantone),224,33,138,,https://encycolorpedia.com/e0218a,encycolorpedia
#7c0a02,Barn red,124,10,2,,https://encycolorpedia.com/7c0a02,encycolorpedia
#1dacd6,Battery charged blue,29,172,214,,https://encycolorpedia.com/1dacd6,encycolorpedia
#848482,Battleship grey,132,132,130,,https://encycolorpedia.com/848482,encycolorpedia
#5fc9bf,Bayside,95,201,191,,https://encycolorpedia.com/5fc9bf,encycolorpedia
#98777b,Bazaar,152,119,123,,https://encycolorpedia.com/98777b,encycolorpedia
#bcd4e6,Beau blue,188,212,230,,https://encycolorpedia.com/bcd4e6,encycolorpedia
#9f8170,Beaver,159,129,112,,https://encycolorpedia.com/9f8170,encycolorpedia
#f28e1c,Beer,242,142,28,,https://encycolorpedia.com/f28e1c,encycolorpedia
#fa6e79,Begonia,250,110,121,,https://encycolorpedia.com/fa6e79,encycolorpedia
#f5f5dc,Beige,245,245,220,,https://encycolorpedia.com/f5f5dc,encycolorpedia
#5d3f6a,Bellflower color (Kikyō-iro),93,63,106,,https://encycolorpedia.com/5d3f6a,encycolorpedia
#352925,Betel nut dye (Binrōjizome),53,41,37,,https://encycolorpedia.com/352925,encycolorpedia
#9c2542,Big dip o’ruby,156,37,66,,https://encycolorpedia.com/9c2542,encycolorpedia
#e88e5a,Big Foot Feet,232,142,90,,https://encycolorpedia.com/e88e5a,encycolorpedia
#b14a30,Birch brown (Kabacha),177,74,48,,https://encycolorpedia.com/b14a30,encycolorpedia
#ffe4c4,Bisque,255,228,196,,https://encycolorpedia.com/ffe4c4,encycolorpedia
#3d2b1f,Bistre,61,43,31,,https://encycolorpedia.com/3d2b1f,encycolorpedia
#967117,Bistre brown,150,113,23,,https://encycolorpedia.com/967117,encycolorpedia
#cae00d,Bitter lemon,202,224,13,,https://encycolorpedia.com/cae00d,encycolorpedia
#bfff00,Bitter lime,191,255,0,,https://encycolorpedia.com/bfff00,encycolorpedia
#fe6f5e,Bittersweet,254,111,94,,https://encycolorpedia.com/fe6f5e,encycolorpedia
#bf4f51,Bittersweet shimmer,191,79,81,,https://encycolorpedia.com/bf4f51,encycolorpedia
#0,Black,0,0,0,,https://encycolorpedia.com/#0,encycolorpedia
#171412,Black (Kokushoku),23,20,18,,https://encycolorpedia.com/171412,encycolorpedia
#3d0c02,Black bean,61,12,2,,https://encycolorpedia.com/3d0c02,encycolorpedia
#252321,Black chestnut oak (Kurotsurubami),37,35,33,,https://encycolorpedia.com/252321,encycolorpedia
#1b1811,Black chocolate,27,24,17,,https://encycolorpedia.com/1b1811,encycolorpedia
#3b2f2f,Black coffee,59,47,47,,https://encycolorpedia.com/3b2f2f,encycolorpedia
#54626f,Black coral,84,98,111,,https://encycolorpedia.com/54626f,encycolorpedia
#351e1c,Black kite (bird species) (Kurotobi),53,30,28,,https://encycolorpedia.com/351e1c,encycolorpedia
#253529,Black leather jacket,37,53,41,,https://encycolorpedia.com/253529,encycolorpedia
#3b3c36,Black olive,59,60,54,,https://encycolorpedia.com/3b3c36,encycolorpedia
