Hex,Name,Red,Green,Blue,Family,Link,Source
#292c2f,bunker,41,44,47,,,Resene
#262b2f,bluecharcoal,38,43,47,,,Resene
#2c2c32,bastille,44,44,50,,,Resene
#33343a,woodybay,51,52,58,,,Resene
#313337,ebony,49,51,55,,,Resene
#323438,ebonyclay,50,52,56,,,Resene
#2c3539,gunmetal,44,53,57,,,Resene
#28353a,oxfordblue,40,53,58,,,Resene
#252f2f,swamp,37,47,47,,,Resene
#313330,oil,49,51,48,,,Resene
#2b3230,woodsmoke,43,50,48,,,Resene
#293432,aztec,41,52,50,,,Resene
#242e28,midnightmoss,36,46,40,,,Resene
#232f2c,racinggreen,35,47,44,,,Resene
#1e3442,bluewhale,30,52,66,,,Resene
#293741,mosaic,41,55,65,,,Resene
#243640,elephant,36,54,64,,,Resene
#21303e,midnight,33,48,62,,,Resene
#1e2f3c,tangaroa,30,47,60,,,Resene
#242a2e,cinder,36,42,46,,,Resene
#1e272c,blackpearl,30,39,44,,,Resene
#1e272c,bluebark,30,39,44,,,Resene
#24252b,blackrussian,36,37,43,,,Resene
#29292f,jaguar,41,41,47,,,Resene
#252525,nero,37,37,37,,,Resene
#2a2725,bokaragrey,42,39,37,,,Resene
#1f263b,outerspace,31,38,59,,,Resene
#21263a,midnightexpress,33,38,58,,,Resene
#21263a,stratos,33,38,58,,,Resene
#192f41,prussianblue,25,47,65,,,Resene
#2b3449,bunting,43,52,73,,,Resene
#2a344a,downriver,42,52,74,,,Resene
#30436a,capri,48,67,106,,,Resene
#26416b,bondiblue,38,65,107,,,Resene
#273c5a,catalinablue,39,60,90,,,Resene
#273c5a,cobalt,39,60,90,,,Resene
#343f5c,covegrey,52,63,92,,,Resene
#343f5c,gulfblue,52,63,92,,,Resene
#2f3c53,biscay,47,60,83,,,Resene
#2d3c54,madison,45,60,84,,,Resene
#214559,astronautblue,33,69,89,,,Resene
#203f58,regalblue,32,63,88,,,Resene
#274a5d,arapawa,39,74,93,,,Resene
