HEX,Name,Red,Green,Blue,Family,Link,Source
#ffc6b3,0515-Y70R,255,198,179,,,NCS
#ffbdaf,0515-Y80R,255,189,175,,,NCS
#ffb4ae,0515-Y90R,255,180,174,,,NCS
#aee0ff,0520-B,174,224,255,,,NCS
#b2ebff,0520-B10G,178,235,255,,,NCS
#b6f8ff,0520-B30G,182,248,255,,,NCS
#b8fcff,0520-B40G,184,252,255,,,NCS
#b8fffc,0520-B50G,184,255,252,,,NCS
#b7fff8,0520-B60G,183,255,248,,,NCS
#b5fff4,0520-B70G,181,255,244,,,NCS
#abffd9,0520-B90G,171,255,217,,,NCS
#a5ffc8,0520-G,165,255,200,,,NCS
#bdffc0,0520-G10Y,189,255,192,,,NCS
#cdffb9,0520-G20Y,205,255,185,,,NCS
#daffb4,0520-G30Y,218,255,180,,,NCS
#e4ffb0,0520-G40Y,228,255,176,,,NCS
#edffb3,0520-G50Y,237,255,179,,,NCS
#f4feb5,0520-G60Y,244,254,181,,,NCS
#fbffb8,0520-G70Y,251,255,184,,,NCS
#fffcb8,0520-G80Y,255,252,184,,,NCS
#fff7b6,0520-G90Y,255,247,182,,,NCS
#ff959c,0520-R,255,149,156,,,NCS
#ff98a5,0520-R10B,255,152,165,,,NCS
#ff9cb0,0520-R20B,255,156,176,,,NCS
#ffa2c0,0520-R30B,255,162,192,,,NCS
#ffa9d4,0520-R40B,255,169,212,,,NCS
#ffb4f0,0520-R50B,255,180,240,,,NCS
#e5b0ff,0520-R60B,229,176,255,,,NCS
#cbb0ff,0520-R70B,203,176,255,,,NCS
#9caeff,0520-R80B,156,174,255,,,NCS
#a3c1ff,0520-R90B,163,193,255,,,NCS
#fff3b5,0520-Y,255,243,181,,,NCS
#feedb2,0520-Y10R,254,237,178,,,NCS
#ffe5b0,0520-Y20R,255,229,176,,,NCS
#ffddad,0520-Y30R,255,221,173,,,NCS
#ffd5aa,0520-Y40R,255,213,170,,,NCS
#ffcca7,0520-Y50R,255,204,167,,,NCS
#ffc2a3,0520-Y60R,255,194,163,,,NCS
#ffb89f,0520-Y70R,255,184,159,,,NCS
#ffac9b,0520-Y80R,255,172,155,,,NCS
#ffa19b,0520-Y90R,255,161,155,,,NCS
#e09ffe,0525-R60B,224,159,254,,,NCS
#c1a0ff,0525-R70B,193,160,255,,,NCS
#8ed4ff,0530-B,142,212,255,,,NCS
#92e3ff,0530-B10G,146,227,255,,,NCS
#98f5ff,0530-B30G,152,245,255,,,NCS
#9afcff,0530-B40G,154,252,255,,,NCS
#9afffb,0530-B50G,154,255,251,,,NCS
#98fff5,0530-B60G,152,255,245,,,NCS
#96ffef,0530-B70G,150,255,239,,,NCS
#8bffcb,0530-B90G,139,255,203,,,NCS
#84ffb4,0530-G,132,255,180,,,NCS
#a3ffa7,0530-G10Y,163,255,167,,,NCS
#baff9e,0530-G20Y,186,255,158,,,NCS
#cbff96,0530-G30Y,203,255,150,,,NCS
#dafe90,0530-G40Y,218,254,144,,,NCS
#e6ff93,0530-G50Y,230,255,147,,,NCS
#f0fe96,0530-G60Y,240,254,150,,,NCS
#f9fe99,0530-G70Y,249,254,153,,,NCS
#fefb9a,0530-G80Y,254,251,154,,,NCS
#fef598,0530-G90Y,254,245,152,,,NCS
#ff737c,0530-R,255,115,124,,,NCS
#ff7687,0530-R10B,255,118,135,,,NCS
#fe7b95,0530-R20B,254,123,149,,,NCS
#ff81a9,0530-R30B,255,129,169,,,NCS
#fe89c4,0530-R40B,254,137,196,,,NCS
#ff95ea,0530-R50B,255,149,234,,,NCS
#7a92ff,0530-R80B,122,146,255,,,NCS
#81aaff,0530-R90B,129,170,255,,,NCS
#ffef96,0530-Y,255,239,150,,,NCS
#fee593,0530-Y10R,254,229,147,,,NCS
#ffdb90,0530-Y20R,255,219,144,,,NCS
#ffd08d,0530-Y30R,255,208,141,,,NCS
#fec589,0530-Y40R,254,197,137,,,NCS
#feb986,0530-Y50R,254,185,134,,,NCS
#feac82,0530-Y60R,254,172,130,,,NCS
#ff9f7e,0530-Y70R,255,159,126,,,NCS
#ff9079,0530-Y80R,255,144,121,,,NCS
#ff8279,0530-Y90R,255,130,121,,,NCS
#72caff,0540-B,114,202,255,,,NCS
#76dcff,0540-B10G,118,220,255,,,NCS
#7cf2ff,0540-B30G,124,242,255,,,NCS
#68ffa3,0540-G,104,255,163,,,NCS
#8eff93,0540-G10Y,142,255,147,,,NCS
#a9ff86,0540-G20Y,169,255,134,,,NCS
#bfff7c,0540-G30Y,191,255,124,,,NCS
#d0ff74,0540-G40Y,208,255,116,,,NCS
#dfff77,0540-G50Y,223,255,119,,,NCS
#ecff7a,0540-G60Y,236,255,122,,,NCS
#f8fe7d,0540-G70Y,248,254,125,,,NCS
#fffa7e,0540-G80Y,255,250,126,,,NCS
#fff27c,0540-G90Y,255,242,124,,,NCS
#ff5863,0540-R,255,88,99,,,NCS
#ff5b6f,0540-R10B,255,91,111,,,NCS
#ff5f7f,0540-R20B,255,95,127,,,NCS
#ff6596,0540-R30B,255,101,150,,,NCS
#6598ff,0540-R90B,101,152,255,,,NCS
#ffeb7a,0540-Y,255,235,122,,,NCS
#ffdf77,0540-Y10R,255,223,119,,,NCS
#ffd274,0540-Y20R,255,210,116,,,NCS
#ffc571,0540-Y30R,255,197,113,,,NCS
#ffb76d,0540-Y40R,255,183,109,,,NCS
#ffa96a,0540-Y50R,255,169,106,,,NCS
#fe9a66,0540-Y60R,254,154,102,,,NCS
#ff8a62,0540-Y70R,255,138,98,,,NCS
#ff7a5e,0540-Y80R,255,122,94,,,NCS
#ff695f,0540-Y90R,255,105,95,,,NCS
#7bff81,0550-G10Y,123,255,129,,,NCS
#9aff71,0550-G20Y,154,255,113,,,NCS
#b3ff65,0550-G30Y,179,255,101,,,NCS
#c8ff5b,0550-G40Y,200,255,91,,,NCS
#daff5e,0550-G50Y,218,255,94,,,NCS
#e8ff61,0550-G60Y,232,255,97,,,NCS
#f7ff64,0550-G70Y,247,255,100,,,NCS
#fffa65,0550-G80Y,255,250,101,,,NCS
#ffef62,0550-G90Y,255,239,98,,,NCS
#ff424e,0550-R,255,66,78,,,NCS
#ff455b,0550-R10B,255,69,91,,,NCS
#ffe761,0550-Y,255,231,97,,,NCS
#ffd95e,0550-Y10R,255,217,94,,,NCS
#ffca5b,0550-Y20R,255,202,91,,,NCS
#ffbb58,0550-Y30R,255,187,88,,,NCS
#ffab55,0550-Y40R,255,171,85,,,NCS
#ff9b52,0550-Y50R,255,155,82,,,NCS
#ff8a4e,0550-Y60R,255,138,78,,,NCS
#fe794b,0550-Y70R,254,121,75,,,NCS
#ff6747,0550-Y80R,255,103,71,,,NCS
#ff5549,0550-Y90R,255,85,73,,,NCS
#6bff71,0560-G10Y,107,255,113,,,NCS
#8eff5f,0560-G20Y,142,255,95,,,NCS
#a9ff51,0560-G30Y,169,255,81,,,NCS
#c0ff45,0560-G40Y,192,255,69,,,NCS
#d4ff47,0560-G50Y,212,255,71,,,NCS
#e5ff4a,0560-G60Y,229,255,74,,,NCS
#f6ff4d,0560-G70Y,246,255,77,,,NCS
#fff94d,0560-G80Y,255,249,77,,,NCS
#ffed4b,0560-G90Y,255,237,75,,,NCS
#ff303e,0560-R,255,48,62,,,NCS
#fee34a,0560-Y,254,227,74,,,NCS
#ffd347,0560-Y10R,255,211,71,,,NCS
#ffc345,0560-Y20R,255,195,69,,,NCS
#ffb242,0560-Y30R,255,178,66,,,NCS
#ffa140,0560-Y40R,255,161,64,,,NCS
#fe8f3d,0560-Y50R,254,143,61,,,NCS
#ff7d3a,0560-Y60R,255,125,58,,,NCS
#ff6a37,0560-Y70R,255,106,55,,,NCS
#ff5734,0560-Y80R,255,87,52,,,NCS
#ff4437,0560-Y90R,255,68,55,,,NCS
#63ff6a,0565-G10Y,99,255,106,,,NCS
#d2ff3d,0565-G50Y,210,255,61,,,NCS
#ff2836,0565-R,255,40,54,,,NCS
#82ff4f,0570-G20Y,130,255,79,,,NCS
#a1ff3f,0570-G30Y,161,255,63,,,NCS
#baff31,0570-G40Y,186,255,49,,,NCS
#e2ff35,0570-G60Y,226,255,53,,,NCS
#f4ff37,0570-G70Y,244,255,55,,,NCS
#fff837,0570-G80Y,255,248,55,,,NCS
#ffeb36,0570-G90Y,255,235,54,,,NCS
#ffe035,0570-Y,255,224,53,,,NCS
#ffcf33,0570-Y10R,255,207,51,,,NCS
#ffbd31,0570-Y20R,255,189,49,,,NCS
#feaa2f,0570-Y30R,254,170,47,,,NCS
#fe982d,0570-Y40R,254,152,45,,,NCS
#ff852b,0570-Y50R,255,133,43,,,NCS
#ff7128,0570-Y60R,255,113,40,,,NCS
#ff5e26,0570-Y70R,255,94,38,,,NCS
#fe4a24,0570-Y80R,254,74,36,,,NCS
#fe3628,0570-Y90R,254,54,40,,,NCS
#7dff48,0575-G20Y,125,255,72,,,NCS
#b7ff28,0575-G40Y,183,255,40,,,NCS
#e1ff2b,0575-G60Y,225,255,43,,,NCS
#f4ff2d,0575-G70Y,244,255,45,,,NCS
#ffea2c,0575-G90Y,255,234,44,,,NCS
#99ff2e,0580-G30Y,153,255,46,,,NCS
#ffdd22,0580-Y,255,221,34,,,NCS
#ffca20,0580-Y10R,255,202,32,,,NCS
#ffca20,0580-Y10R,255,202,32,,,NCS
#feb71f,0580-Y20R,254,183,31,,,NCS
#feb71f,0580-Y20R,254,183,31,,,NCS
#ffa31d,0580-Y30R,255,163,29,,,NCS
#ff901c,0580-Y40R,255,144,28,,,NCS
#ff7b1b,0580-Y50R,255,123,27,,,NCS
#ff6719,0580-Y60R,255,103,25,,,NCS
#ff5318,0580-Y70R,255,83,24,,,NCS
#ff3e16,0580-Y80R,255,62,22,,,NCS
#ff2a1b,0580-Y90R,255,42,27,,,NCS
#ffb416,0585-Y20R,255,180,22,,,NCS
#ffa015,0585-Y30R,255,160,21,,,NCS
#fe8c14,0585-Y40R,254,140,20,,,NCS
#ff7713,0585-Y50R,255,119,19,,,NCS
#ff6212,0585-Y60R,255,98,18,,,NCS
#ff4e11,0585-Y70R,255,78,17,,,NCS
#ff3910,0585-Y80R,255,57,16,,,NCS
#f7fcef,0603-G40Y,247,252,239,,,NCS
#fcfbf0,0603-G80Y,252,251,240,,,NCS
#fceaed,0603-R20B,252,234,237,,,NCS
#fcedf4,0603-R40B,252,237,244,,,NCS
#f8effc,0603-R60B,248,239,252,,,NCS
#e9edfc,0603-R80B,233,237,252,,,NCS
#fcf8ef,0603-Y20R,252,248,239,,,NCS
#fcf5ed,0603-Y40R,252,245,237,,,NCS
#fcf1eb,0603-Y60R,252,241,235,,,NCS
#fcede9,0603-Y80R,252,237,233,,,NCS
#e8f6f6,0804-B50G,232,246,246,,,NCS
#ecf6e7,0804-G20Y,236,246,231,,,NCS
#f4f6e7,0804-G60Y,244,246,231,,,NCS
#f6f5e7,0804-G90Y,246,245,231,,,NCS
#f6dee1,0804-R10B,246,222,225,,,NCS
#f6e1e8,0804-R30B,246,225,232,,,NCS
#f6e7f3,0804-R50B,246,231,243,,,NCS
#ebe5f6,0804-R70B,235,229,246,,,NCS
#e1e8f6,0804-R90B,225,232,246,,,NCS
#f6f3e6,0804-Y10R,246,243,230,,,NCS
#f6efe5,0804-Y30R,246,239,229,,,NCS
#f6ebe3,0804-Y50R,246,235,227,,,NCS
