"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"14667","Breakwaters","RC260-02","#6086A2","96","134","162","205.45","26.19","50.59","40.74","17.28","0.0","36.47","ColorNerd","kilz"
"14668","Beach View","RC270-02","#4B748D","75","116","141","202.73","30.56","42.35","46.81","17.73","0.0","44.71","ColorNerd","kilz"
"14669","Airy Blue","RC230-02","#CFDEE8","207","222","232","204.0","35.21","86.08","10.78","4.31","0.0","9.02","ColorNerd","kilz"
"14670","Water Splash","RD160-02","#9AAEBD","154","174","189","205.71","20.96","67.25","18.52","7.94","0.0","25.88","ColorNerd","kilz"
"14671","Backwater","RD130-01","#7F98A8","127","152","168","203.41","19.07","57.84","24.4","9.52","0.0","34.12","ColorNerd","kilz"
"14672","Iron Medallion","RD130-02","#537181","83","113","129","200.87","21.7","41.57","35.66","12.4","0.0","49.41","ColorNerd","kilz"
"14673","Refreshing","RD190-02","#C9DEEB","201","222","235","202.94","45.95","85.49","14.47","5.53","0.0","7.84","ColorNerd","kilz"
"14674","Favorite Jeans","RD170-02","#88ACC1","136","172","193","202.11","31.49","64.51","29.53","10.88","0.0","24.31","ColorNerd","kilz"
"14675","Bubbling Brook","RD110-01","#3A81A1","58","129","161","198.64","47.03","42.94","63.98","19.88","0.0","36.86","ColorNerd","kilz"
"14676","Wind Surfing","RD110-02","#366C8E","54","108","142","203.18","44.9","38.43","61.97","23.94","0.0","44.31","ColorNerd","kilz"
"14677","Humid Weather","RD190-01","#D4E4EC","212","228","236","200.0","38.71","87.84","10.17","3.39","0.0","7.45","ColorNerd","kilz"
"14678","Quiet Blue","RE160-02","#A5C3D2","165","195","210","200.0","33.33","73.53","21.43","7.14","0.0","17.65","ColorNerd","kilz"
"14679","Seaside Retreat","RD150-01","#6F9CB5","111","156","181","201.43","32.11","57.25","38.67","13.81","0.0","29.02","ColorNerd","kilz"
"14680","Marine Bay","RD100-01","#477188","71","113","136","201.23","31.4","40.59","47.79","16.91","0.0","46.67","ColorNerd","kilz"
