"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"11591","Aged Eucalyptus","DE5496","#898253","137","130","83","52.22","24.55","43.14","0.0","5.11","39.42","46.27","ColorNerd","dunn-edwards"
"11592","Tapering Light","DE5497","#F7F2DD","247","242","221","48.46","61.9","91.76","0.0","2.02","10.53","3.14","ColorNerd","dunn-edwards"
"11593","Calla Lily","DE5498","#ECE6C8","236","230","200","50.0","48.65","85.49","0.0","2.54","15.25","7.45","ColorNerd","dunn-edwards"
"11594","Dull Sage","DE5499","#DBD4AB","219","212","171","51.25","40.0","76.47","0.0","3.2","21.92","14.12","ColorNerd","dunn-edwards"
"11595","Olive Hint","DE5500","#C9BD88","201","189","136","48.92","37.57","66.08","0.0","5.97","32.34","21.18","ColorNerd","dunn-edwards"
"11596","Twine","DE5501","#B7A86D","183","168","109","47.84","33.94","57.25","0.0","8.2","40.44","28.24","ColorNerd","dunn-edwards"
"11597","Serpentine","DE5502","#9B8E54","155","142","84","49.01","29.71","46.86","0.0","8.39","45.81","39.22","ColorNerd","dunn-edwards"
"11598","Shaded Glen","DE5503","#8E824A","142","130","74","49.41","31.48","42.35","0.0","8.45","47.89","44.31","ColorNerd","dunn-edwards"
"11599","Sheer Rosebud","DE5112","#FFE8E5","255","232","229","6.92","100.0","94.9","0.0","9.02","10.2","0.0","ColorNerd","dunn-edwards"
"11600","Fairytale Dream","DE5113","#FACFCC","250","207","204","3.91","82.14","89.02","0.0","17.2","18.4","1.96","ColorNerd","dunn-edwards"
"11601","Mesa Rose","DE5114","#EEB5AF","238","181","175","5.71","64.95","80.98","0.0","23.95","26.47","6.67","ColorNerd","dunn-edwards"
"11602","Dusty Cedar","DE5115","#DD9592","221","149","146","2.4","52.45","71.96","0.0","32.58","33.94","13.33","ColorNerd","dunn-edwards"
"11603","Rouge","DE5116","#C8756D","200","117","109","5.27","45.27","60.59","0.0","41.5","45.5","21.57","ColorNerd","dunn-edwards"
"11604","Redwood City","DE5117","#B45F56","180","95","86","5.74","38.52","52.16","0.0","47.22","52.22","29.41","ColorNerd","dunn-edwards"
"11605","BBQ","DE5118","#A35046","163","80","70","6.45","39.91","45.69","0.0","50.92","57.06","36.08","ColorNerd","dunn-edwards"
"11606","Pink Theory","DE5119","#FFE6E4","255","230","228","4.44","100.0","94.71","0.0","9.8","10.59","0.0","ColorNerd","dunn-edwards"
"11607","Forgotten Pink","DE5120","#FFD9D6","255","217","214","4.39","100.0","91.96","0.0","14.9","16.08","0.0","ColorNerd","dunn-edwards"
"11608","Ladylike","DE5121","#FFC3BF","255","195","191","3.75","100.0","87.45","0.0","23.53","25.1","0.0","ColorNerd","dunn-edwards"
"11609","Roseberry","DE5122","#F4A6A1","244","166","161","3.61","79.05","79.41","0.0","31.97","34.02","4.31","ColorNerd","dunn-edwards"
"11610","Cultured Rose","DE5123","#E5867B","229","134","123","6.23","67.09","69.02","0.0","41.48","46.29","10.2","ColorNerd","dunn-edwards"
"11611","Southwestern Clay","DE5124","#CC6758","204","103","88","7.76","53.21","57.25","0.0","49.51","56.86","20.0","ColorNerd","dunn-edwards"
"11612","Red River","DE5125","#B95543","185","85","67","9.15","46.83","49.41","0.0","54.05","63.78","27.45","ColorNerd","dunn-edwards"
"11613","Soft Peach Mist","DE5126","#FFF3F0","255","243","240","12.0","100.0","97.06","0.0","4.71","5.88","0.0","ColorNerd","dunn-edwards"
"11614","Rose Frost","DE5127","#FFECE9","255","236","233","8.18","100.0","95.69","0.0","7.45","8.63","0.0","ColorNerd","dunn-edwards"
"11615","Peachy Keen","DE5128","#FFDEDA","255","222","218","6.49","100.0","92.75","0.0","12.94","14.51","0.0","ColorNerd","dunn-edwards"
"11616","Peachtree","DE5129","#FFC9C4","255","201","196","5.08","100.0","88.43","0.0","21.18","23.14","0.0","ColorNerd","dunn-edwards"
"11617","Amber Tide","DE5130","#FFAFA3","255","175","163","7.83","100.0","81.96","0.0","31.37","36.08","0.0","ColorNerd","dunn-edwards"
"11618","Orange Aura","DE5131","#FF9682","255","150","130","9.6","100.0","75.49","0.0","41.18","49.02","0.0","ColorNerd","dunn-edwards"
"11619","Often Orange","DE5132","#FF714E","255","113","78","11.86","100.0","65.29","0.0","55.69","69.41","0.0","ColorNerd","dunn-edwards"
"11620","Polished Pink","DE5133","#FFF2EF","255","242","239","11.25","100.0","96.86","0.0","5.1","6.27","0.0","ColorNerd","dunn-edwards"
"11621","First Kiss","DE5134","#FFE6E2","255","230","226","8.28","100.0","94.31","0.0","9.8","11.37","0.0","ColorNerd","dunn-edwards"
"11622","Girlie","DE5135","#FFD3CF","255","211","207","5.0","100.0","90.59","0.0","17.25","18.82","0.0","ColorNerd","dunn-edwards"
"11623","Cherry Chip","DE5136","#FFBBB4","255","187","180","5.6","100.0","85.29","0.0","26.67","29.41","0.0","ColorNerd","dunn-edwards"
"11624","Adobe Avenue","DE5137","#FB9587","251","149","135","7.24","93.55","75.69","0.0","40.64","46.22","1.57","ColorNerd","dunn-edwards"
