"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"12316","Teresa's Green","236","#C0CDC2","192","205","194","129.23","11.5","77.84","6.34","0.0","5.37","19.61","ColorNerd","farrow-ball"
"12317","Green Blue","84","#ADBDB2","173","189","178","138.75","10.81","70.98","8.47","0.0","5.82","25.88","ColorNerd","farrow-ball"
"12318","Dix Blue","82","#99B0AB","153","176","171","166.96","12.71","64.51","13.07","0.0","2.84","30.98","ColorNerd","farrow-ball"
"12319","Vardo","288","#427E83","66","126","131","184.62","32.99","38.63","49.62","3.82","0.0","48.63","ColorNerd","farrow-ball"
"12320","Borrowed Light","235","#D5DBDB","213","219","219","180.0","7.69","84.71","2.74","0.0","0.0","14.12","ColorNerd","farrow-ball"
"12321","Skylight","205","#CCD0CD","204","208","205","135.0","4.08","80.78","1.92","0.0","1.44","18.43","ColorNerd","farrow-ball"
"12322","Light Blue","22","#B8BCB5","184","188","181","94.29","4.96","72.35","2.13","0.0","3.72","26.27","ColorNerd","farrow-ball"
"12323","Parma Gray","27","#B2BFC5","178","191","197","198.95","14.07","73.53","9.64","3.05","0.0","22.75","ColorNerd","farrow-ball"
"12324","Lulworth Blue","89","#A1B8CA","161","184","202","206.34","27.89","71.18","20.3","8.91","0.0","20.78","ColorNerd","farrow-ball"
"12325","Cook's Blue","237","#6A90B4","106","144","180","209.19","33.04","56.08","41.11","20.0","0.0","29.41","ColorNerd","farrow-ball"
"12326","Cabbage White","269","#E8EEEA","232","238","234","140.0","15.0","92.16","2.52","0.0","1.68","6.67","ColorNerd","farrow-ball"
"12327","Blue Ground","210","#A1C5C8","161","197","200","184.62","26.17","70.78","19.5","1.5","0.0","21.57","ColorNerd","farrow-ball"
"12328","St Giles Blue","280","#599EC4","89","158","196","201.31","47.56","55.88","54.59","19.39","0.0","23.14","ColorNerd","farrow-ball"
"12329","Pitch Blue","220","#636E8F","99","110","143","225.0","18.18","47.45","30.77","23.08","0.0","43.92","ColorNerd","farrow-ball"
"12330","Stiffkey Blue","281","#4D5B6A","77","91","106","211.03","15.85","35.88","27.36","14.15","0.0","58.43","ColorNerd","farrow-ball"
"12331","Hague Blue","30","#3D4E57","61","78","87","200.77","17.57","29.02","29.89","10.34","0.0","65.88","ColorNerd","farrow-ball"
"12332","Mahogany","36","#534644","83","70","68","8.0","9.93","29.61","0.0","15.66","18.07","67.45","ColorNerd","farrow-ball"
"12333","Tanner's Brown","255","#4D4746","77","71","70","8.57","4.76","28.82","0.0","7.79","9.09","69.8","ColorNerd","farrow-ball"
"12334","Down Pipe","26","#626664","98","102","100","150.0","2.0","39.22","3.92","0.0","1.96","60.0","ColorNerd","farrow-ball"
"12335","Railings","31","#45484B","69","72","75","210.0","4.17","28.24","8.0","4.0","0.0","70.59","ColorNerd","farrow-ball"
"12336","Off-Black","57","#444546","68","69","70","210.0","1.45","27.06","2.86","1.43","0.0","72.55","ColorNerd","farrow-ball"
"12337","Pitch Black","256","#3B3938","59","57","56","20.0","2.61","22.55","0.0","3.39","5.08","76.86","ColorNerd","farrow-ball"
