"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"18403","Hot Stone","1007-4","#ABA89E","171","168","158","46.15","7.18","64.51","0.0","1.75","7.6","32.94","ColorNerd","ppg"
"18404","Lazy Afternoon","1007-5","#97928B","151","146","139","35.0","5.45","56.86","0.0","3.31","7.95","40.78","ColorNerd","ppg"
"18405","Cool Charcoal","1007-6","#807B76","128","123","118","30.0","4.07","48.24","0.0","3.91","7.81","49.8","ColorNerd","ppg"
"18406","Bark","1007-7","#5F5854","95","88","84","21.82","6.15","35.1","0.0","7.37","11.58","62.75","ColorNerd","ppg"
"18407","Focus","1008-1","#E5E0D2","229","224","210","44.21","26.76","86.08","0.0","2.18","8.3","10.2","ColorNerd","ppg"
"18408","Storm's Coming","1008-2","#CFC9BC","207","201","188","41.05","16.52","77.45","0.0","2.9","9.18","18.82","ColorNerd","ppg"
"18409","Greyhound","1008-3","#B2ACA2","178","172","162","37.5","9.41","66.67","0.0","3.37","8.99","30.2","ColorNerd","ppg"
"18410","Gray By Me","1008-4","#A1988B","161","152","139","35.45","10.48","58.82","0.0","5.59","13.66","36.86","ColorNerd","ppg"
"18411","Roller Coaster","1008-5","#8C8578","140","133","120","39.0","8.0","50.98","0.0","5.0","14.29","45.1","ColorNerd","ppg"
"18412","Artillery","1008-6","#746F67","116","111","103","36.92","5.94","42.94","0.0","4.31","11.21","54.51","ColorNerd","ppg"
"18413","Stone's Throw","1008-7","#605C58","96","92","88","30.0","4.35","36.08","0.0","4.17","8.33","62.35","ColorNerd","ppg"
"18414","Tundra Frost","1009-1","#E1E1DB","225","225","219","60.0","9.09","87.06","0.0","0.0","2.67","11.76","ColorNerd","ppg"
"18415","Tornado","1009-2","#D1D3CF","209","211","207","90.0","4.35","81.96","0.95","0.0","1.9","17.25","ColorNerd","ppg"
"18416","Solitary State","1009-3","#C4C7C4","196","199","196","120.0","2.61","77.45","1.51","0.0","1.51","21.96","ColorNerd","ppg"
