"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"12847","Young Colt","198","#A79B8C","167","155","140","33.33","13.3","60.2","0.0","7.19","16.17","34.51","ColorNerd","hl"
"12848","Sandy Shoes","199","#847563","132","117","99","32.73","14.29","45.29","0.0","11.36","25.0","48.24","ColorNerd","hl"
"12849","Stony Field","200","#615547","97","85","71","32.31","15.48","32.94","0.0","12.37","26.8","61.96","ColorNerd","hl"
"12850","Sparkling Champagne","201","#ECEADD","236","234","221","52.0","28.3","89.61","0.0","0.85","6.36","7.45","ColorNerd","hl"
"12851","Powder Cake","202","#DFD7CA","223","215","202","37.14","24.71","83.33","0.0","3.59","9.42","12.55","ColorNerd","hl"
"12852","Whale Bone","203","#D0C8BB","208","200","187","37.14","18.26","77.45","0.0","3.85","10.1","18.43","ColorNerd","hl"
"12853","Marshy Habitat","204","#B8AEA2","184","174","162","32.73","13.41","67.84","0.0","5.43","11.96","27.84","ColorNerd","hl"
"12854","Wood Shadow","205","#A79E90","167","158","144","36.52","11.56","60.98","0.0","5.39","13.77","34.51","ColorNerd","hl"
"12855","Thatched Cottage","206","#837766","131","119","102","35.17","12.45","45.69","0.0","9.16","22.14","48.63","ColorNerd","hl"
"12856","Ares Shadow","207","#62584C","98","88","76","32.73","12.64","34.12","0.0","10.2","22.45","61.57","ColorNerd","hl"
"12857","Umber Style","208","#ECE7DD","236","231","221","40.0","28.3","89.61","0.0","2.12","6.36","7.45","ColorNerd","hl"
"12858","Polished","209","#DED8CE","222","216","206","37.5","19.51","83.92","0.0","2.7","7.21","12.94","ColorNerd","hl"
"12859","Hidden Cove","210","#CDC7BD","205","199","189","37.5","13.79","77.25","0.0","2.93","7.8","19.61","ColorNerd","hl"
"12860","Light Lichen","211","#BFB6A9","191","182","169","35.45","14.67","70.59","0.0","4.71","11.52","25.1","ColorNerd","hl"
"12861","Big Spender","212","#A79C8E","167","156","142","33.6","12.44","60.59","0.0","6.59","14.97","34.51","ColorNerd","hl"
"12862","Coastal Fog","213","#7E7264","126","114","100","32.31","11.5","44.31","0.0","9.52","20.63","50.59","ColorNerd","hl"
"12863","Wildwood","214","#60554C","96","85","76","27.0","11.63","33.73","0.0","11.46","20.83","62.35","ColorNerd","hl"
"12864","Herare White","215","#E7E0D3","231","224","211","39.0","29.41","86.67","0.0","3.03","8.66","9.41","ColorNerd","hl"
