"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"18016","Frosty Ruby Met.","mp22359","#CE5D8E","206","93","142","333.98","53.55","58.63","0.0","54.85","31.07","19.22","ColorNerd","neenah"
"18017","Frosty Rust Met.","mp22358","#B89288","184","146","136","12.5","25.26","62.75","0.0","20.65","26.09","27.84","ColorNerd","neenah"
"18018","Frosty Wine Met.","mp22362","#C79B95","199","155","149","7.2","30.86","68.24","0.0","22.11","25.13","21.96","ColorNerd","neenah"
"18019","Heady Pink Met.","mp25338","#C2456D","194","69","109","340.8","50.61","51.57","0.0","64.43","43.81","23.92","ColorNerd","neenah"
"18020","Light Iris Met.","mp22305","#A7718E","167","113","142","327.78","23.48","54.9","0.0","32.34","14.97","34.51","ColorNerd","neenah"
"18021","Light Woodrose Met.","mp22361","#E5A9A5","229","169","165","3.75","55.17","77.25","0.0","26.2","27.95","10.2","ColorNerd","neenah"
"18022","Marin Red Met.","mp25314","#5E1A39","94","26","57","332.65","56.67","23.53","0.0","72.34","39.36","63.14","ColorNerd","neenah"
"18023","Merlot Red Met.","mp22303","#62183F","98","24","63","328.38","60.66","23.92","0.0","75.51","35.71","61.57","ColorNerd","neenah"
"18024","Mirtillo Red Met.","mp22295","#CB87AA","203","135","170","329.12","39.53","66.27","0.0","33.5","16.26","20.39","ColorNerd","neenah"
"18025","Myst Pink Met.","mp25341","#B96492","185","100","146","327.53","37.78","55.88","0.0","45.95","21.08","27.45","ColorNerd","neenah"
"18026","New Bronze Met.","mp47934","#AB654E","171","101","78","14.84","37.35","48.82","0.0","40.94","54.39","32.94","ColorNerd","neenah"
"18027","Orchidea Red Met.","mp22296","#D298B2","210","152","178","333.1","39.19","70.98","0.0","27.62","15.24","17.65","ColorNerd","neenah"
"18028","Pima Red Met.","mp22342","#AE2B00","174","43","0","14.83","100.0","34.12","0.0","75.29","100.0","31.76","ColorNerd","neenah"
