"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"9862","DIC 2091s*","2091s","#F1EBAD","241","235","173","54.71","70.83","81.18","0.0","2.49","28.22","5.49","ColorNerd","dic"
"9863","DIC 2092s*","2092s","#ECEF91","236","239","145","61.91","74.6","75.29","1.26","0.0","39.33","6.27","ColorNerd","dic"
"9864","DIC 2093s","2093s","#D2D579","210","213","121","61.96","52.27","65.49","1.41","0.0","43.19","16.47","ColorNerd","dic"
"9865","DIC 2094s","2094s","#BCC85F","188","200","95","66.86","48.84","57.84","6.0","0.0","52.5","21.57","ColorNerd","dic"
"9866","DIC 2095s","2095s","#B1BA3D","177","186","61","64.32","50.61","48.43","4.84","0.0","67.2","27.06","ColorNerd","dic"
"9867","DIC 2096s","2096s","#CAD377","202","211","119","65.87","51.11","64.71","4.27","0.0","43.6","17.25","ColorNerd","dic"
"9868","DIC 2097s*","2097s","#E1E692","225","230","146","63.57","62.69","73.73","2.17","0.0","36.52","9.8","ColorNerd","dic"
"9869","DIC 2098s*","2098s","#D8EA95","216","234","149","72.71","66.93","75.1","7.69","0.0","36.32","8.24","ColorNerd","dic"
"9870","DIC 2099s*","2099s","#DCEB86","220","235","134","68.91","71.63","72.35","6.38","0.0","42.98","7.84","ColorNerd","dic"
"9871","DIC 2100s*","2100s","#CAE680","202","230","128","76.47","67.11","70.2","12.17","0.0","44.35","9.8","ColorNerd","dic"
"9872","DIC 2101s","2101s","#BED792","190","215","146","81.74","46.31","70.78","11.63","0.0","32.09","15.69","ColorNerd","dic"
"9873","DIC 2102s*","2102s","#B6CB7A","182","203","122","75.56","43.78","63.73","10.34","0.0","39.9","20.39","ColorNerd","dic"
"9874","DIC 2103s*","2103s","#B5D692","181","214","146","89.12","45.33","70.59","15.42","0.0","31.78","16.08","ColorNerd","dic"
"9875","DIC 2104s*","2104s","#98D287","152","210","135","106.4","45.45","67.65","27.62","0.0","35.71","17.65","ColorNerd","dic"
"9876","DIC 2105s*","2105s","#6DD686","109","214","134","134.29","56.15","63.33","49.07","0.0","37.38","16.08","ColorNerd","dic"
"9877","DIC 2106s*","2106s","#A4DFA3","164","223","163","119.0","48.39","75.69","26.46","0.0","26.91","12.55","ColorNerd","dic"
"9878","DIC 2107s*","2107s","#B5E2A9","181","226","169","107.37","49.57","77.45","19.91","0.0","25.22","11.37","ColorNerd","dic"
"9879","DIC 2108s*","2108s","#B7E4A9","183","228","169","105.76","52.21","77.84","19.74","0.0","25.88","10.59","ColorNerd","dic"
